date,year,quarter,gdp_real,consumption_real,investment_real,gov_spending_real,exports_real,imports_real,gdp_growth_rate,consumption_growth_rate,investment_growth_rate,gdp_nominal,total_compensation,gross_operating_surplus,employment,labor_force,unemployment_rate,real_wage_index,productivity_index,wage_share,profit_share,cpi,ppi,gdp_deflator,inflation_rate,unit_labor_cost,private_debt,private_debt_gdp_ratio,credit_growth_rate,asset_price_index,policy_interest_rate,corporate_profits,finance_sector_value,finance_sector_share,gov_revenue,gov_spending,budget_balance,budget_balance_gdp,gov_debt,gov_debt_gdp,trade_balance,trade_balance_gdp,current_account,current_account_gdp,net_foreign_assets,capital_inflows
1970-03-31,1970,1,100.0,62.0,20.0,17.0,18.0,17.0,0.011490142459033698,0.012672416854670607,0.02682093940746047,100.0,65.33333333333333,34.66666666666667,95.0,100.0,5.0,100.0,105.26315789473684,0.6533333333333333,0.3466666666666667,100.0,100.0,100.0,2.7035176673365466,95.0,83.60869621957349,0.8360869621957349,0.04860995076416229,100.0,5.89591221262254,20.8,5.0,5.0,32.29802849180674,17.0,15.29802849180674,15.29802849180674,40.0,40.0,1.0,1.0,0.8,0.8,-10.0,-0.8
1970-06-30,1970,2,101.35320021603927,62.35574800987967,20.545193983123653,17.48882848723429,18.194358734175434,17.23092899837378,0.013532002160392666,0.005737871127091369,0.02725969915618267,104.17586419813107,65.35611608080835,35.99708413523092,95.22103560128558,100.45296927543568,5.208341487452171,105.6104992037945,106.43992640494963,0.6448352488278477,0.3551647511721523,102.77789300086484,102.91958615160111,102.78497765840166,2.7778930008648284,99.22075556685414,85.60946680724162,0.8217783213626315,0.05129155330637272,103.85652468086701,5.752587967892328,21.605023376934742,5.273497878346128,5.062110997530593,34.07217529821908,17.97588845331995,16.09628684489913,15.451071098662315,23.90371315510087,22.945538622687717,0.9902610386981282,0.9505666656287681,0.8100662594720908,0.7775949503345935,-9.009738961301872,-0.8100662594720908
1970-09-30,1970,3,103.35118130794481,63.301788096958006,20.951808953234664,18.143909368214352,18.550045483601046,17.59637059406324,0.019713053832012686,0.015171658063157905,0.019791245117715402,110.79077889092771,66.26174752848287,37.08943377946194,96.74500844595997,100.8476993409511,4.068204750135686,116.729385075764,106.8284379402116,0.6411319802049442,0.3588680197950558,107.15680645958871,107.98802217538537,107.19836724537853,4.260559669857224,109.26808191381927,95.86197095575541,0.865252252176424,0.029930858632206476,106.90168306628749,7.245722976048987,22.267540656076573,5.676310648409714,5.123450439858337,37.60528284401326,19.449974597207063,18.155308246806197,16.387021039611877,5.748404908294674,5.188522876938986,1.022323910413694,0.9227518035775888,0.8625756093959305,0.778562636738141,-7.9874150508881785,-0.8625756093959305
1970-12-31,1970,4,106.02996143705123,64.24612477620764,22.05161734846358,18.98731268698672,18.980445085593253,18.23553846019997,0.025919201843709227,0.014918009548217153,0.052492288264165306,120.1263543776504,67.61001763264798,38.419943804403246,98.22253128721961,101.30015270982037,3.0381212073951813,135.0990313074574,107.94871609142443,0.6376501199878987,0.36234988001210133,113.1762005850282,115.54671057526107,113.29472608453983,5.617369838013552,125.15112379200389,102.07730179686277,0.8497494352983905,0.08148078674148654,113.82612854215718,9.86014247529795,23.073336630647226,6.227383739879737,5.184027911395892,42.26506476502164,21.511623899536684,20.753440865484958,17.27634287497045,-15.005035957190284,-12.491044146747187,0.8439399208249104,0.7025435219416982,0.701070418223645,0.5836108336557325,-7.143475130063268,-0.701070418223645
1971-03-31,1971,1,108.56131722398595,65.25915208739238,22.861725894022044,19.894643612890103,19.365932951645856,18.820137321964427,0.02387396687338763,0.015767913079792473,0.03673692195710573,130.40114186282204,68.57989162448575,39.9814255995002,99.84720520490033,101.7118845887258,3.0,156.11052227470518,108.72744710400562,0.6317157287525381,0.3682842712474619,119.90669318831728,124.12285975138849,120.11750151647082,5.946915136307761,143.5796815181122,114.82832165774565,0.8805775779060392,0.04692388934597081,118.66836385403492,10.21855256646259,24.01812679920082,6.838044029861796,5.24385287749643,45.346727641016486,23.896948843409735,21.44977879760675,16.449072831103926,-36.454814754797034,-27.95590148523881,0.6555960737594217,0.5027533228574704,0.5258384926333448,0.40324684670822175,-6.487879056303846,-0.5258384926333448
1971-06-30,1971,2,111.45430908270822,66.61861917985027,24.290438461657416,20.248687556084334,19.892310833679883,19.595746948563683,0.02664845943931759,0.020831822801457043,0.062493644366935566,142.24489579843527,69.85300914808953,41.601299934618694,101.23600632272054,101.91780369967483,3.0,181.7353648809009,110.0935458945444,0.6267412155078982,0.3732587844921018,127.31610959382695,133.51785275649604,127.6261967519604,6.179318442109766,165.0735866523731,132.63219580479614,0.9324214767800135,0.10285450459854605,127.89222943517315,10.431319599476998,24.998221130712373,7.543153918263937,5.302934685932621,50.2546834117997,25.842629820017915,24.41205359178178,17.161989155923248,-60.86686834657881,-42.79019503998847,0.378493207513659,0.26608561621078747,0.25630549053785523,0.18018607212524998,-6.109385848790187,-0.25630549053785523
1971-09-30,1971,3,115.28044311006829,68.22805704752764,26.11861581834324,20.844139691177347,20.549836942155245,20.460206389135184,0.03432917092977331,0.024158979689032245,0.07526325058197747,157.12396661175777,71.82488277711612,43.455560332952174,103.44528478775533,102.22973991419816,3.0,210.72414817032845,111.4409838462873,0.6230448186995485,0.37695518130045147,135.86211066259878,144.56303872450252,136.29715706569397,6.712427120209606,189.09035159002573,153.18764319985624,0.9749476575930145,0.12334918792960409,140.82411138935794,11.520047340955315,26.119312767260173,8.423859832667613,5.361282568357236,57.92506099748538,28.409969813876646,29.515091183608735,18.784588895046447,-90.38195953018754,-57.52270737507219,0.12216389562860319,0.07775000737504391,0.0024194565653715,0.0015398392858486107,-5.987221953161584,-0.0024194565653715
1971-12-31,1971,4,119.146698690679,69.68274673438037,27.712439302055373,21.60482425545176,21.39356787590519,21.24687947711369,0.03353782720039752,0.02132098948441965,0.06102250956931578,173.06333066636154,73.96252800446986,45.184170686209136,105.3089410934352,102.62392884050865,3.0,245.79440714067343,113.14015453347525,0.6207685887838708,0.37923141121612924,144.68395261154902,156.05107569521093,145.2523087657321,6.493231928994897,217.24772089466185,168.4862893405207,0.9735527953367277,0.09772754228156777,151.86231183373602,11.590831358521013,27.164923812477834,9.378138589272329,5.418905641745612,63.52733535713584,31.38150603582257,32.14582932131327,18.574604566744007,-122.52778885150082,-70.7993937131112,0.2130682859361386,0.12311578952961459,0.0975852125916297,0.056386995567396306,-5.774153667225446,-0.0975852125916297
1972-03-31,1972,1,122.82031309942117,71.0870131343592,29.38190467466426,22.677520196774502,21.769620822055966,22.095745728432764,0.030832699933041,0.02015228253460876,0.060242454820102036,190.19340918754682,76.14859412164112,46.671718977780046,107.12573958455964,102.91028092866263,3.0,286.56650287932683,114.65060925201178,0.62,0.38,154.16220807459507,168.01826376888746,154.8550108593097,6.55100672324976,249.94764942716466,186.40981025498004,0.9801065717853775,0.10678995736389102,166.36987555996672,12.389130687048523,28.06546231028608,10.414635253918853,5.475812909820203,68.78637538570747,35.117276363337304,33.66909902237017,17.702558235953163,-156.196887873871,-82.1252894835318,-0.5050207591847036,-0.2655301050346651,-0.6306042477129066,-0.33155946381458323,-6.279174426410149,0.6306042477129066
1972-06-30,1972,2,127.02283413327055,72.88629455328591,31.20025078899932,23.428461614882277,22.633316557176947,23.125489381073926,0.03421682397477286,0.025310972280210352,0.06188659770253094,209.74288805320253,78.85178548823805,48.1710486450325,109.73512517802101,103.38366088651837,3.0,333.4314358924081,115.75403402256484,0.6207685887838708,0.37923141121612924,164.26302391071337,181.44638556768209,165.12219199356178,6.55207003212537,288.05167673673446,210.77347890618108,1.0049135914096745,0.09824744864970636,183.75529047111058,13.052192140321107,28.972777341602747,11.603004388359246,5.532013264457422,77.2763373769146,38.685589368863845,38.59074800805075,18.39907343998333,-194.78763588192174,-92.8697214431951,-0.8126865552153046,-0.38746799129091897,-0.9545237748478137,-0.45509231979569814,-7.091860981625453,0.9545237748478137
