country,year,regime_type,region,income_level,labor_market_coordination,union_density,employment_protection,vocational_training,stakeholder_governance,interfirm_cooperation,left_cabinet_share,welfare_generosity,strike_days_per_1000,decommodification_index,financial_sector_gdp_share,household_debt_to_income,corporate_debt_to_gdp,stock_market_cap_to_gdp,nfc_financial_income_ratio,financial_deregulation,financialization_index,trade_openness,capital_account_openness,privatization_index,labor_market_flexibility,top_tax_rate,social_spending_gdp,neoliberalism_index,wage_bargaining_level,almp_spending_gdp,product_market_regulation,wage_share_gdp,policy_orthodoxy,cme_complementarity,lme_complementarity,power_resources_index,golden_age_score,neoliberal_regime_score
USA,1974,LME,North America,high,0.25014901424590336,0.20006481679387897,0.29971692585158993,0.30005009857006915,0.25007155747206966,0.29974782320913296,0.34111070790095527,0.35011798233492375,17.253146492170885,0.27676657896140444,0.11996383304587743,0.8012869749638496,0.40048266346606654,0.7990141500228238,0.10000953208069478,0.6998698830316886,0.13431416592233103,0.59949593395285,0.7002990267491035,0.20007077155412498,0.733332346821701,0.3996699017579925,10.471845962693825,0.5917794387651714,0.1726593029138203,0.10586787935520196,0.4001389995801554,0.5799060649274461,0.4426368971558111,0.26659003676977466,0.638140356958333,0.2692242008846357,0.5724354364596699,0.48233912898235787
USA,1975,LME,North America,high,0.250107534955552,0.1999878003377957,0.29963279678703686,0.30011938821196854,0.2501837143773433,0.2999313955985439,0.19446565115460868,0.3501126519993251,26.992843573816554,0.33739238542609323,0.12008552544979756,0.800842337405604,0.40038833513004785,0.7976081164994888,0.10002743576034967,0.7000785922135458,0.13429647372587117,0.6035947526493123,0.7003417528339891,0.200143025562154,0.70117347466052,0.39965981718764815,10.491174007479104,0.5861238972600098,0.21959381812146705,0.10576025578369341,0.40052830814765833,0.5780258193105926,0.4864561004746803,0.2666373475335785,0.6250783468524658,0.2464227603637437,0.5648482137155988,0.4840663386750175
USA,1976,LME,North America,high,0.2503018415169822,0.1998524159377345,0.2995642538837315,0.29998338326765284,0.25040032462597833,0.3003558268379465,0.023882352664819,0.3497829146848123,18.462096700316074,0.2780960911264423,0.11999701329038046,0.8004149294631545,0.40103661105145105,0.7951034477413862,0.10008819244678281,0.7002521452183801,0.1341727433047077,0.6073772316342526,0.7003950689433281,0.2001890184647362,0.7794263560236893,0.39962847110800365,10.499471082056951,0.6025255764835742,0.24198622006930534,0.10556790330596644,0.4004762084352706,0.5760105652321428,0.5372395252152875,0.2667302345517622,0.655945507115589,0.17444668327190757,0.5424864080830171,0.5066252745788179
USA,1977,LME,North America,high,0.2507587504739046,0.19997475119550268,0.2994037984298872,0.30002983400708505,0.25061108503638535,0.3005623198900567,0.0,0.34965078787943926,20.648229577230484,0.26962182099029464,0.11994538183692875,0.7998622836898075,0.3999296679072734,0.7977504781427803,0.09993627444848419,0.7003087516594592,0.1342179914092296,0.6117275118599464,0.7003147929918617,0.20024976989745114,0.7356564974088572,0.3998409514099787,10.479949675936599,0.5946679176387986,0.2743854613986857,0.10612406523183887,0.40082157520371436,0.5740459652443121,0.5443890378859632,0.26696800179109764,0.6386975455427886,0.16435880026502903,0.5386606287544646,0.5047275961891624
USA,1978,LME,North America,high,0.2506885044614876,0.2001809511000019,0.29937154128755394,0.3000884485017448,0.25033555116279393,0.3002584458968659,0.0,0.34964400760346276,22.943712085799973,0.3315953088355088,0.11995386830114826,0.8008261340085229,0.39931935260494617,0.7958882262963566,0.09993574080140052,0.700038858945174,0.13416382932109963,0.6160536113216201,0.7004223974628211,0.20015533301969685,0.7367678716669895,0.39939406612151584,10.512142296298908,0.5957224918040169,0.2269596655345926,0.10719315665972154,0.40084086194747304,0.5720543805772519,0.5452521381121338,0.26687048187321666,0.638883831272803,0.18612169097742876,0.5444091107277995,0.5008860565028526
USA,1979,LME,North America,high,0.25061826337440285,0.2003672071238251,0.29945235145891685,0.2999455782181395,0.2501479861548109,0.3001615990822926,0.0959832383559927,0.3497914197014955,36.46542092501018,0.25057295675506386,0.11995833799710555,0.801799691456043,0.39962935419013507,0.7946637681827744,0.0998698639188224,0.7001559596373458,0.13413264007139217,0.6207037771139633,0.7004319882728777,0.20018765759598775,0.7454080449940588,0.3994411060872868,10.507223469910851,0.598396666569449,0.23996999026691299,0.10644313671697489,0.4007046844910652,0.5701020768730305,0.5156607264242764,0.2667363830181747,0.6421773042127188,0.18662402886440893,0.5437882473871173,0.5021133195332603
USA,1980,LME,North America,high,0.2510920272190551,0.2001993636191806,0.299829588639159,0.3003187331203685,0.2502509932082526,0.30041498131212996,0.17295289427833863,0.3497549971830059,60.17531662527384,0.23249735714265354,0.11998274020107448,0.8031855947773341,0.3991498878476399,0.7966374179451976,0.09970090819621456,0.8502986395553869,0.1387271668047995,0.624193443238766,0.7006737846616989,0.2003125777727365,0.7071552938487908,0.39920999247766564,10.52363994805256,0.59149109231727,0.20621116774752177,0.10741020311653766,0.4005065460133377,0.5683233881109196,0.49267867527778175,0.2670508886028157,0.6270301220655794,0.20332972055014353,0.5467101213679711,0.4966977520900462
USA,1981,LME,North America,high,0.24832225763780097,0.19613752114401034,0.29786450420172533,0.30041349970455083,0.25035375039843505,0.3002734474190062,0.09794248834269625,0.34673314530172655,52.49243379610288,0.3151324030662256,0.12206174690582824,0.8041941977271829,0.3990511664528101,0.7940077573747902,0.09979962041622743,0.8503080429980115,0.1393619032428451,0.6282562844179489,0.7103854858120863,0.21536171822943845,0.75957691853378,0.39627383714610476,10.446125153896679,0.6076865027356075,0.1919014347711725,0.10607460702348932,0.39663242873031507,0.5656840977112049,0.5240631656302757,0.26620307505844404,0.6484352537283902,0.20832721997639142,0.5469632341045458,0.503986378345379
USA,1982,LME,North America,high,0.24518141532202048,0.19220377383029105,0.2959160142798699,0.3001752390051103,0.25045675993569627,0.3003622113046355,0.19130422523028434,0.34364774658515623,64.89625454783753,0.28472576301559716,0.12405575435985997,0.8025619796477544,0.3990515859233444,0.7951422847287213,0.09976440311786748,0.8505526771881299,0.14002872323892637,0.6312071562269744,0.7204205949780643,0.23025864647915828,0.7328872861855188,0.3933486931572202,10.395198524829533,0.6077888387269704,0.2779474277111626,0.10738491377951653,0.3924494369167585,0.563028994310676,0.5050605383309571,0.2651229943060899,0.6388718325869096,0.22431660546514615,0.5504979623921363,0.5010397152421339
USA,1983,LME,North America,high,0.24234418333509625,0.18839888285571552,0.2939011250967167,0.30030654972683707,0.2512273062338272,0.3005171381153213,0.30745923882408877,0.34051714940837136,27.91004862789847,0.28471782650519284,0.12606144083287063,0.8028429439686726,0.3991465395119164,0.7930227482107086,0.09978865516042873,0.8504159908301039,0.1406207461355387,0.634452752046717,0.7305022974477399,0.24525366982819335,0.7603817099140584,0.39033132420179417,10.405300742844995,0.6186213679161796,0.176833027022432,0.10665774197840537,0.3884656922853119,0.5605112299777802,0.4801830952556601,0.26449202602993926,0.6504028411967008,0.25782861992354456,0.5593668541275139,0.49993118381404256
